
# Generation Number  Best Fitness  Average Fitness  Worst Fitness
 452  0.031905  0.032842  0.034325
 453  0.030754  0.032842  0.034368
 454  0.030327  0.032790  0.036117
 455  0.031698  0.032871  0.034137
 456  0.031406  0.032851  0.034612
 457  0.031360  0.032817  0.033930
 458  0.031246  0.032796  0.034142
 459  0.031250  0.032851  0.034315
 460  0.031499  0.032785  0.034299
 461  0.031770  0.032777  0.034020
 462  0.031551  0.032779  0.034163
 463  0.031105  0.032778  0.034417
 464  0.030844  0.032824  0.034313
 465  0.031253  0.032845  0.034673
 466  0.031554  0.032858  0.034133
 467  0.031752  0.032883  0.034645
 468  0.030647  0.032929  0.036866
 469  0.031236  0.032888  0.034114
 470  0.031572  0.032881  0.034837
 471  0.031312  0.032817  0.034000
 472  0.031539  0.032824  0.033928
 473  0.031819  0.032860  0.034341
 474  0.031935  0.032843  0.033932
 475  0.031419  0.032909  0.035110
 476  0.031495  0.032907  0.033901
 477  0.031651  0.032881  0.034012
 478  0.031655  0.032868  0.034438
 479  0.031557  0.032854  0.033929
 480  0.031630  0.032891  0.035657
 481  0.031794  0.032857  0.034162
 482  0.031436  0.032892  0.034026
 483  0.031886  0.032983  0.034558
 484  0.032044  0.032977  0.034118
 485  0.031633  0.032978  0.034197
 486  0.031646  0.033002  0.036548
 487  0.032059  0.033041  0.034511
 488  0.032079  0.032988  0.034401
 489  0.031783  0.032964  0.034222
 490  0.032289  0.032994  0.034000
 491  0.031906  0.033002  0.034682
 492  0.031740  0.032968  0.034267
 493  0.031902  0.032997  0.034142
 494  0.032101  0.033005  0.034223
 495  0.031958  0.032963  0.034944
 496  0.031635  0.033006  0.034280
 497  0.031868  0.032969  0.034279
 498  0.031996  0.032896  0.034466
 499  0.031753  0.033010  0.034578
 500  0.031905  0.032944  0.034333
 501  0.031842  0.032894  0.034638
 502  0.031821  0.032931  0.034470
 503  0.032048  0.032963  0.034331
 504  0.031616  0.032931  0.034274
 505  0.031748  0.032983  0.035657
 506  0.032085  0.032915  0.034002
 507  0.031943  0.032893  0.034589
 508  0.031855  0.032893  0.034443
 509  0.031586  0.032956  0.034547
 510  0.031462  0.032902  0.034496
 511  0.031806  0.032935  0.034174
 512  0.031983  0.032888  0.034422
 513  0.031577  0.032850  0.033935
 514  0.031854  0.032876  0.034579
 515  0.031619  0.032859  0.034187
 516  0.031440  0.032968  0.034198
 517  0.031561  0.032942  0.034575
 518  0.031522  0.032937  0.034107
 519  0.031179  0.032944  0.034266
 520  0.031300  0.032989  0.035534
 521  0.031465  0.032910  0.034645
 522  0.031673  0.032907  0.034874
 523  0.031610  0.032866  0.033809
 524  0.031388  0.032879  0.034834
 525  0.031601  0.032892  0.033879
 526  0.031614  0.032912  0.034365
 527  0.031506  0.032880  0.035112
 528  0.032030  0.032937  0.034046
 529  0.031660  0.032872  0.034624
 530  0.031916  0.032881  0.033943
 531  0.032010  0.032921  0.033981
 532  0.031879  0.032964  0.035190
 533  0.031768  0.032940  0.033886
 534  0.031631  0.032901  0.034225
 535  0.031597  0.032901  0.035373
 536  0.031695  0.032866  0.033768
 537  0.031550  0.032938  0.035046
 538  0.031652  0.033022  0.034695
 539  0.031075  0.032959  0.034433
 540  0.031075  0.032939  0.033951
 541  0.031715  0.032955  0.034935
 542  0.031467  0.032947  0.035093
 543  0.031382  0.032931  0.033938
 544  0.030853  0.032926  0.034846
 545  0.030831  0.032886  0.033974
 546  0.031635  0.033005  0.035830
 547  0.031279  0.032971  0.034901
 548  0.031127  0.032935  0.035089
 549  0.031108  0.032832  0.034434
 550  0.031467  0.032858  0.034240
 551  0.031476  0.032881  0.034763
 552  0.031355  0.032936  0.034265
 553  0.031306  0.032948  0.034789
 554  0.031419  0.032909  0.034124
 555  0.031902  0.033005  0.033790
 556  0.031574  0.032948  0.034517
 557  0.031641  0.032970  0.034437
 558  0.031987  0.033020  0.034850
 559  0.031921  0.033046  0.034635
 560  0.031922  0.032998  0.033939
 561  0.031759  0.033007  0.034632
 562  0.031430  0.033107  0.034386
 563  0.031497  0.033031  0.034688
 564  0.031482  0.033006  0.034353
 565  0.031379  0.032976  0.034914
 566  0.031380  0.032970  0.034704
 567  0.032062  0.032984  0.034985
 568  0.031787  0.032996  0.034298
 569  0.032068  0.033010  0.034546
 570  0.031768  0.033002  0.034375
 571  0.031698  0.033017  0.034676
 572  0.031501  0.032994  0.034860
 573  0.031672  0.033030  0.034372
 574  0.031757  0.033042  0.034328
 575  0.031616  0.033020  0.034838
 576  0.031978  0.033045  0.034525
 577  0.031551  0.032899  0.034709
 578  0.031006  0.032879  0.034140
 579  0.031312  0.032906  0.034166
 580  0.032011  0.032893  0.033858
 581  0.031603  0.032895  0.034226
 582  0.031784  0.032938  0.034167
 583  0.031163  0.033023  0.035576
 584  0.031739  0.033014  0.034590
 585  0.031395  0.032941  0.034651
 586  0.031844  0.032921  0.033939
